observed,predicted,low,high,anomalous,err,threshold
757.609,755.486,,,,,
756.753,755.249,,,,,
756.367,754.856,,,,,
756.083,754.495,,,,,
755.16,754.155,,,,,
754.685,753.907,,,,,
754.14,753.583,,,,,
753.816,753.368,,,,,
753.138,753.292,,,,,
752.95,753.296,,,,,
752.98,753.486,,,,,
753.016,753.798,,,,,
753.572,754.113,,,,,
755.883,754.457,754.189,754.725,False,0.00081325,0.00535313
756.448,756.368,756.178,756.558,False,2.56581e-06,0.0038
757.108,756.926,756.431,757.421,False,1.32674e-05,0.00989662
757.497,757.561,757.123,757.999,False,1.65127e-06,0.00876146
757.675,757.951,757.664,758.237,False,3.04439e-05,0.00572804
758.14,758.204,758.014,758.394,False,1.63934e-06,0.0038
758.091,758.487,758.297,758.677,False,6.26768e-05,0.0038
757.93,758.616,758.426,758.806,False,0.00018801,0.0038
757.543,758.597,758.407,758.787,False,0.000444131,0.0038
756.84,757.256,757.066,757.446,False,6.92557e-05,0.0038
756.387,756.432,756.242,756.622,False,7.97124e-07,0.0038
755.983,756.008,755.818,756.198,False,2.55055e-07,0.0038
755.329,755.648,755.458,755.839,False,4.08425e-05,0.0038
754.912,754.961,754.771,755.151,False,9.52278e-07,0.0038
754.55,754.584,754.394,754.774,False,4.72383e-07,0.0038
753.997,754.276,754.086,754.466,False,3.10308e-05,0.0038
753.526,753.698,753.508,753.888,False,1.1835e-05,0.0038
753.371,753.232,753.042,753.422,False,7.69607e-06,0.0038
753.396,753.04,752.85,753.23,False,5.06615e-05,0.0038
753.626,752.981,752.791,753.171,False,0.000166542,0.0038
753.764,753.753,753.563,753.943,False,4.49498e-08,0.0038
754.023,753.884,753.694,754.074,False,7.72321e-06,0.0038
754.614,754.182,753.992,754.372,False,7.45383e-05,0.0038
755.089,754.913,754.723,755.103,False,1.24123e-05,0.0038
755.725,755.409,755.219,755.599,False,4.00555e-05,0.0038
756.671,756.123,755.933,756.313,False,0.000120053,0.0038
756.972,757.219,757.029,757.409,False,2.44122e-05,0.0038
757.882,757.616,757.426,757.806,False,2.83933e-05,0.0038
758.501,758.394,758.204,758.584,False,4.55432e-06,0.0038
758.843,758.98,758.79,759.17,False,7.4937e-06,0.0038
759.048,759.336,759.146,759.526,False,3.31503e-05,0.0038
759.132,759.548,759.358,759.738,False,6.91238e-05,0.0038
758.852,759.205,759.015,759.395,False,4.97123e-05,0.0038
758.261,758.741,758.551,758.931,False,9.21013e-05,0.0038
757.492,757.941,757.751,758.131,False,8.06764e-05,0.0038
756.908,757.032,756.842,757.222,False,6.18934e-06,0.0038
756.182,756.47,756.28,756.66,False,3.31194e-05,0.0038
755.4,755.74,755.55,755.93,False,4.61784e-05,0.0038
754.691,754.929,754.739,755.119,False,2.2625e-05,0.0038
754.093,754.219,754.029,754.409,False,6.32831e-06,0.0038
753.456,753.686,753.496,753.876,False,2.12483e-05,0.0038
753.161,753.066,752.876,753.256,False,3.62253e-06,0.0038
752.761,752.793,752.603,752.983,False,4.22175e-07,0.0038
752.64,752.525,752.335,752.715,False,5.26984e-06,0.0038
753.041,752.383,752.193,752.573,False,0.000173204,0.0038
753.14,753.144,752.954,753.334,False,6.60981e-09,0.0038
753.649,753.289,753.099,753.479,False,5.16951e-05,0.0038
754.263,753.89,753.7,754.08,False,5.55325e-05,0.0038
754.993,754.618,754.428,754.808,False,5.63545e-05,0.0038
755.706,755.438,755.248,755.628,False,2.87367e-05,0.0038
756.428,756.195,756.005,756.385,False,2.16446e-05,0.0038
757.367,756.922,756.732,757.112,False,7.9091e-05,0.0038
758.102,757.95,757.76,758.14,False,9.24677e-06,0.0038
758.574,758.673,758.483,758.863,False,3.88651e-06,0.0038
759.061,759.112,758.922,759.302,False,1.04347e-06,0.0038
759.539,759.48,759.29,759.67,False,1.37765e-06,0.0038
759.451,759.887,759.697,760.077,False,7.59103e-05,0.0038
759.097,760.006,759.816,760.196,False,0.000330678,0.0038
758.693,758.91,758.72,759.1,False,1.88552e-05,0.0038
757.98,758.399,758.209,758.589,False,7.01015e-05,0.0038
757.178,757.575,757.385,757.765,False,6.30823e-05,0.0038
756.461,756.652,756.462,756.842,False,1.46029e-05,0.0038
755.606,755.978,755.788,756.168,False,5.52955e-05,0.0038
754.806,755.077,754.887,755.267,False,2.94569e-05,0.0038
754.326,754.283,754.093,754.473,False,7.28223e-07,0.0038
753.623,753.883,753.693,754.073,False,2.70118e-05,0.0038
753.052,753.224,753.034,753.414,False,1.18904e-05,0.0038
752.866,752.675,752.485,752.865,False,1.46261e-05,0.0038
752.898,752.447,752.257,752.637,False,8.12373e-05,0.0038
753.228,752.382,752.192,752.572,False,0.000286221,0.0038
753.604,753.422,753.232,753.612,False,1.32839e-05,0.0038
754.246,753.827,753.637,754.017,False,7.00915e-05,0.0038
754.859,754.624,754.434,754.814,False,2.201e-05,0.0038
755.572,755.273,755.083,755.463,False,3.57663e-05,0.0038
756.481,756.04,755.85,756.23,False,7.79659e-05,0.0038
757.015,757.051,756.861,757.241,False,5.29133e-07,0.0038
757.734,757.529,757.339,757.719,False,1.68733e-05,0.0038
758.592,758.203,758.013,758.393,False,6.05259e-05,0.0038
758.945,759.153,758.963,759.343,False,1.72644e-05,0.0038
759.247,759.566,759.376,759.756,False,4.05967e-05,0.0038
759.299,759.849,759.659,760.039,False,0.000121072,0.0038
758.828,759.967,759.777,760.157,False,0.000519282,0.0038
758.476,758.556,758.366,758.746,False,2.5439e-06,0.0038
757.971,758.161,757.971,758.351,False,1.43692e-05,0.0038
757.248,757.59,757.4,757.78,False,4.69087e-05,0.0038
756.187,756.796,756.606,756.986,False,0.000148308,0.0038
755.329,755.61,755.42,755.8,False,3.15469e-05,0.0038
754.289,754.718,754.528,754.908,False,7.36844e-05,0.0038
753.313,753.65,753.46,753.84,False,4.5424e-05,0.0038
752.567,752.713,752.523,752.903,False,8.51997e-06,0.0038
751.882,752.059,751.869,752.249,False,1.25196e-05,0.0038
751.366,751.451,751.261,751.641,False,2.90273e-06,0.0038
751.183,751.02,750.83,751.21,False,1.06029e-05,0.0038
751.296,750.816,750.626,751.006,False,9.23188e-05,0.0038
751.574,751.314,751.124,751.504,False,2.69499e-05,0.0038
752.314,751.694,751.504,751.884,False,0.000153535,0.0038
753.021,752.65,752.46,752.84,False,5.51626e-05,0.0038
754.06,753.48,753.29,753.67,False,0.000134661,0.0038
755.189,754.671,754.481,754.861,False,0.000107154,0.0038
755.974,755.929,755.739,756.119,False,8.27963e-07,0.0038
757.115,756.616,756.426,756.806,False,9.95271e-05,0.0038
