observed,predicted,low,high,anomalous,err,threshold
737.688,738.281,,,,,
738.075,738.283,,,,,
738.602,738.285,,,,,
739.403,738.285,,,,,
740.139,738.284,,,,,
740.412,738.282,,,,,
740.573,738.279,,,,,
741.073,738.277,738.272,738.281,False,0.00312768,0.0045
740.905,739.711,739.706,739.715,False,0.000570408,0.0045
740.546,740.333,740.328,740.337,False,1.82163e-05,0.0045
740.264,740.446,740.442,740.451,False,1.33208e-05,0.0045
740.005,740.354,740.35,740.359,False,4.87471e-05,0.0045
739.556,740.175,740.171,740.18,False,0.000153459,0.0045
739.17,739.858,739.853,739.862,False,0.000189281,0.0045
738.779,739.504,739.5,739.509,False,0.000210467,0.0045
738.816,739.132,739.127,739.136,False,3.98227e-05,0.0045
738.424,738.968,738.964,738.973,False,0.000118473,0.0045
738.147,738.689,738.685,738.694,False,0.000117603,0.0045
737.649,738.41,738.406,738.415,False,0.00023193,0.0045
737.559,738.02,738.015,738.024,False,8.48239e-05,0.0045
737.307,737.782,737.778,737.787,False,9.02817e-05,0.0045
737.089,737.538,737.534,737.543,False,8.0671e-05,0.0045
737.102,737.307,737.303,737.312,False,1.68689e-05,0.0045
737.497,737.201,737.197,737.206,False,3.50311e-05,0.0045
737.888,737.352,737.347,737.356,False,0.000114997,0.0045
738.329,737.627,737.622,737.631,False,0.00019726,0.0045
738.844,737.987,737.983,737.992,False,0.000293718,0.0045
739.643,738.427,738.422,738.431,False,0.000591579,0.0045
740.232,739.051,739.046,739.055,False,0.000557944,0.0045
740.544,739.658,739.654,739.663,False,0.000313789,0.0045
741.099,740.115,740.11,740.119,False,0.000387618,0.0045
741.738,740.62,740.616,740.625,False,0.000499496,0.0045
741.776,741.195,741.191,741.2,False,0.000134989,0.0045
741.504,741.496,741.491,741.5,False,2.76547e-08,0.0045
741.129,741.502,741.497,741.506,False,5.55005e-05,0.0045
740.492,741.311,741.306,741.315,False,0.000268096,0.0045
739.754,740.891,740.886,740.895,False,0.000516826,0.0045
739.096,740.307,740.302,740.311,False,0.000586466,0.0045
738.211,739.684,739.68,739.689,False,0.000868212,0.0045
737.541,738.928,738.923,738.932,False,0.000768974,0.0045
737.057,738.215,738.21,738.219,False,0.000536001,0.0045
736.187,737.619,737.615,737.624,False,0.000820366,0.0045
735.71,736.884,736.88,736.889,False,0.000551512,0.0045
734.993,736.28,736.276,736.285,False,0.000662908,0.0045
734.406,735.62,735.615,735.624,False,0.000589088,0.0045
734.462,734.996,734.992,735.001,False,0.000114262,0.0045
734.567,734.72,734.716,734.725,False,9.39672e-06,0.0045
735.587,734.641,734.636,734.645,False,0.000358059,0.0045
736.099,735.124,735.119,735.128,False,0.000380577,0.0045
736.543,735.624,735.62,735.629,False,0.000337733,0.0045
736.234,736.096,736.091,736.1,False,7.62925e-06,0.0045
737.028,736.168,736.164,736.173,False,0.000295546,0.0045
737.942,736.608,736.603,736.612,False,0.000712065,0.0045
738.407,737.292,737.287,737.297,False,0.000497281,0.0045
738.768,737.866,737.861,737.87,False,0.000325565,0.0045
739.193,738.33,738.325,738.334,False,0.000298095,0.0045
739.68,738.773,738.769,738.778,False,0.000328825,0.0045
739.195,739.239,739.235,739.244,False,7.8768e-07,0.0045
738.867,739.243,739.238,739.247,False,5.6419e-05,0.0045
738.544,739.05,739.046,739.055,False,0.000102603,0.0045
738.021,738.79,738.786,738.795,False,0.000236723,0.0045
737.601,738.396,738.391,738.4,False,0.00025271,0.0045
737.355,737.987,737.983,737.992,False,0.000160005,0.0045
736.809,737.662,737.658,737.667,False,0.000291053,0.0045
736.046,737.224,737.22,737.229,False,0.000555521,0.0045
735.659,736.62,736.615,736.624,False,0.000369365,0.0045
735,736.126,736.121,736.13,False,0.000506881,0.0045
734.597,735.548,735.544,735.553,False,0.000361979,0.0045
734.43,735.06,735.055,735.064,False,0.000158533,0.0045
734.324,734.736,734.731,734.74,False,6.77594e-05,0.0045
734.506,734.524,734.519,734.528,False,1.28559e-07,0.0045
734.689,734.514,734.509,734.518,False,1.23006e-05,0.0045
734.893,734.603,734.599,734.608,False,3.36149e-05,0.0045
735.355,734.752,734.747,734.756,False,0.00014566,0.0045
735.978,735.06,735.056,735.065,False,0.000336896,0.0045
736.522,735.531,735.526,735.535,False,0.000393179,0.0045
737.068,736.039,736.035,736.044,False,0.000423234,0.0045
737.703,736.567,736.563,736.572,False,0.000515877,0.0045
738.186,737.15,737.146,737.155,False,0.000429088,0.0045
738.658,737.683,737.678,737.687,False,0.000380569,0.0045
739.3,738.184,738.179,738.188,False,0.00049821,0.0045
739.729,738.757,738.753,738.762,False,0.000377821,0.0045
740.026,739.257,739.253,739.262,False,0.000236419,0.0045
739.996,739.653,739.649,739.658,False,4.7032e-05,0.0045
739.838,739.831,739.826,739.835,False,2.2597e-08,0.0045
739.544,739.835,739.831,739.84,False,3.39304e-05,0.0045
739.027,739.686,739.682,739.691,False,0.00017387,0.0045
738.499,739.348,739.344,739.353,False,0.000288529,0.0045
738.1,738.912,738.908,738.917,False,0.000263881,0.0045
737.586,738.495,738.49,738.499,False,0.000330231,0.0045
737.066,738.028,738.023,738.033,False,0.000370209,0.0045
736.552,737.534,737.529,737.538,False,0.00038561,0.0045
735.968,737.029,737.025,737.034,False,0.000450646,0.0045
735.475,736.484,736.48,736.489,False,0.00040764,0.0045
735.237,735.966,735.961,735.97,False,0.000212531,0.0045
735.121,735.591,735.586,735.595,False,8.83551e-05,0.0045
735.223,735.349,735.345,735.354,False,6.35954e-06,0.0045
735.727,735.284,735.279,735.288,False,7.86648e-05,0.0045
736.112,735.51,735.505,735.514,False,0.000145132,0.0045
736.767,735.818,735.814,735.823,False,0.000359896,0.0045
737.437,736.305,736.3,736.309,False,0.00051304,0.0045
738.141,736.885,736.881,736.89,False,0.000630532,0.0045
738.691,737.53,737.526,737.535,False,0.000539092,0.0045
739.57,738.127,738.122,738.131,False,0.000833242,0.0045
740.164,738.868,738.863,738.872,False,0.000672219,0.0045
740.641,739.535,739.53,739.539,False,0.000489711,0.0045
741.099,740.104,740.1,740.109,False,0.000395947,0.0045
741.422,740.616,740.612,740.621,False,0.000259851,0.0045
741.401,741.031,741.027,741.036,False,5.46944e-05,0.0045
741.255,741.223,741.218,741.227,False,4.15771e-07,0.0045
741.049,741.24,741.236,741.245,False,1.46284e-05,0.0045
740.395,741.142,741.138,741.147,False,0.000223454,0.0045
739.852,740.76,740.755,740.764,False,0.000329432,0.0045
739.367,740.293,740.289,740.298,False,0.000343017,0.0045
