Observed,Predicted,LowerBound,UpperBound,Anomalous,Error,Threshold
736.081,6.10692,6.10312,6.11072,1,729.974,0.0038
736.436,nan,nan,nan,0,nan,0.0038
737.058,nan,nan,nan,0,nan,0.0038
737.688,nan,nan,nan,0,nan,0.0038
738.075,nan,nan,nan,0,nan,0.0038
738.602,nan,nan,nan,0,nan,0.0038
739.403,nan,nan,nan,0,nan,0.0038
740.139,nan,nan,nan,0,nan,0.0038
740.412,nan,nan,nan,0,nan,0.0038
740.573,nan,nan,nan,0,nan,0.0038
741.073,nan,nan,nan,0,nan,0.0038
740.905,nan,nan,nan,0,nan,0.0038
740.546,nan,nan,nan,0,nan,0.0038
740.264,nan,nan,nan,0,nan,0.0038
740.005,nan,nan,nan,0,nan,0.0038
739.556,nan,nan,nan,0,nan,0.0038
739.17,nan,nan,nan,0,nan,0.0038
738.779,nan,nan,nan,0,nan,0.0038
738.816,nan,nan,nan,0,nan,0.0038
738.424,nan,nan,nan,0,nan,0.0038
738.147,nan,nan,nan,0,nan,0.0038
737.649,nan,nan,nan,0,nan,0.0038
737.559,nan,nan,nan,0,nan,0.0038
737.307,nan,nan,nan,0,nan,0.0038
737.089,nan,nan,nan,0,nan,0.0038
737.102,nan,nan,nan,0,nan,0.0038
737.497,nan,nan,nan,0,nan,0.0038
737.888,nan,nan,nan,0,nan,0.0038
738.329,nan,nan,nan,0,nan,0.0038
738.844,nan,nan,nan,0,nan,0.0038
739.643,nan,nan,nan,0,nan,0.0038
740.232,nan,nan,nan,0,nan,0.0038
740.544,nan,nan,nan,0,nan,0.0038
741.099,nan,nan,nan,0,nan,0.0038
741.738,nan,nan,nan,0,nan,0.0038
741.776,nan,nan,nan,0,nan,0.0038
741.504,nan,nan,nan,0,nan,0.0038
741.129,nan,nan,nan,0,nan,0.0038
740.492,nan,nan,nan,0,nan,0.0038
739.754,nan,nan,nan,0,nan,0.0038
739.096,nan,nan,nan,0,nan,0.0038
738.211,nan,nan,nan,0,nan,0.0038
737.541,nan,nan,nan,0,nan,0.0038
737.057,nan,nan,nan,0,nan,0.0038
736.187,nan,nan,nan,0,nan,0.0038
735.71,nan,nan,nan,0,nan,0.0038
734.993,nan,nan,nan,0,nan,0.0038
734.406,nan,nan,nan,0,nan,0.0038
734.462,nan,nan,nan,0,nan,0.0038
734.567,nan,nan,nan,0,nan,0.0038
735.587,nan,nan,nan,0,nan,0.0038
736.099,nan,nan,nan,0,nan,0.0038
736.543,nan,nan,nan,0,nan,0.0038
736.234,nan,nan,nan,0,nan,0.0038
737.028,nan,nan,nan,0,nan,0.0038
737.942,nan,nan,nan,0,nan,0.0038
738.407,nan,nan,nan,0,nan,0.0038
738.768,nan,nan,nan,0,nan,0.0038
739.193,nan,nan,nan,0,nan,0.0038
739.68,nan,nan,nan,0,nan,0.0038
739.195,nan,nan,nan,0,nan,0.0038
738.867,nan,nan,nan,0,nan,0.0038
738.544,nan,nan,nan,0,nan,0.0038
738.021,nan,nan,nan,0,nan,0.0038
737.601,nan,nan,nan,0,nan,0.0038
737.355,nan,nan,nan,0,nan,0.0038
736.809,nan,nan,nan,0,nan,0.0038
736.046,nan,nan,nan,0,nan,0.0038
735.659,nan,nan,nan,0,nan,0.0038
735,nan,nan,nan,0,nan,0.0038
734.597,nan,nan,nan,0,nan,0.0038
734.43,nan,nan,nan,0,nan,0.0038
734.324,nan,nan,nan,0,nan,0.0038
734.506,nan,nan,nan,0,nan,0.0038
734.689,nan,nan,nan,0,nan,0.0038
734.893,nan,nan,nan,0,nan,0.0038
735.355,nan,nan,nan,0,nan,0.0038
735.978,nan,nan,nan,0,nan,0.0038
736.522,nan,nan,nan,0,nan,0.0038
737.068,nan,nan,nan,0,nan,0.0038
737.703,nan,nan,nan,0,nan,0.0038
738.186,nan,nan,nan,0,nan,0.0038
738.658,nan,nan,nan,0,nan,0.0038
739.3,nan,nan,nan,0,nan,0.0038
739.729,nan,nan,nan,0,nan,0.0038
740.026,nan,nan,nan,0,nan,0.0038
739.996,nan,nan,nan,0,nan,0.0038
739.838,nan,nan,nan,0,nan,0.0038
739.544,nan,nan,nan,0,nan,0.0038
739.027,nan,nan,nan,0,nan,0.0038
738.499,nan,nan,nan,0,nan,0.0038
738.1,nan,nan,nan,0,nan,0.0038
737.586,nan,nan,nan,0,nan,0.0038
737.066,nan,nan,nan,0,nan,0.0038
736.552,nan,nan,nan,0,nan,0.0038
735.968,nan,nan,nan,0,nan,0.0038
735.475,nan,nan,nan,0,nan,0.0038
735.237,nan,nan,nan,0,nan,0.0038
