timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature
2023-09-05 02:00,35.1789,15.0689,27.9994,1020.57,1498.77,315.869,15.0906
2023-09-05 02:28,35.0781,15.0786,27.9036,1020.49,1498.69,315.234,15.0955
2023-09-05 02:58,35.0783,15.1836,27.8291,1020.41,1498.94,314.246,15.2208
2023-09-05 03:30,35.0358,15.2747,27.7273,1020.32,1499.12,313.043,15.2737
2023-09-05 04:00,35.1272,15.2902,27.7966,1020.37,1499.25,311.785,15.3107
2023-09-05 04:30,36.2337,15.3387,28.7341,1021.08,1500.49,310.625,15.3514
2023-09-05 05:00,36.0253,15.3156,28.5674,1020.95,1500.22,309.635,15.3425
2023-09-05 05:30,36.4806,15.3026,28.978,1021.27,1500.66,308.846,15.3158
2023-09-05 06:00,35.8843,15.2185,28.5138,1020.93,1499.85,307.89,15.2291
2023-09-05 06:30,35.4188,15.2018,28.1157,1020.63,1499.33,307.196,15.2259
2023-09-05 07:00,35.3549,15.1111,28.1245,1020.66,1499.05,307.141,15.1246
2023-09-05 07:30,35.3555,15.1339,28.1086,1020.64,1499.11,307.501,15.152
2023-09-05 08:00,35.2058,14.9963,28.075,1020.64,1498.63,307.928,15.0192
2023-09-05 08:30,36.2282,15.0104,28.9705,1021.33,1499.71,308.699,15.0169
2023-09-05 09:00,36.2764,14.9643,29.0476,1021.4,1499.65,309.476,14.9764
2023-09-05 09:30,35.9009,14.9881,28.6965,1021.12,1499.32,310.366,15.0024
2023-09-05 10:00,35.9801,14.9546,28.7914,1021.2,1499.32,311.414,14.967
2023-09-05 10:30,36.4557,15.2068,29.0268,1021.33,1500.41,312.268,15.2234
2023-09-05 11:00,35.4638,15.1769,28.1732,1020.68,1499.32,312.851,15.1652
2023-09-05 11:30,35.3794,15.1686,28.1048,1020.63,1499.22,313.508,15.1361
2023-09-05 12:00,35.4691,15.2458,28.1285,1020.63,1499.49,314.317,15.2454
2023-09-05 12:30,35.5485,15.265,28.1846,1020.67,1499.62,314.846,15.2847
2023-09-05 13:00,35.4866,15.2835,28.117,1020.61,1499.6,315.451,15.2989
2023-09-05 13:30,35.3924,15.3289,28.0017,1020.52,1499.61,315.636,15.3509
2023-09-05 14:00,35.3209,15.312,27.9511,1020.48,1499.5,315.358,15.3177
2023-09-05 14:28,35.3059,15.3012,27.9456,1020.48,1499.46,315.063,15.3154
2023-09-05 15:00,35.2838,15.2991,27.9277,1020.47,1499.43,314.477,15.3137
2023-09-05 15:30,35.1758,15.3679,27.7843,1020.34,1499.48,313.232,15.3929
2023-09-05 16:00,35.2944,15.3991,27.8661,1020.4,1499.68,312.125,15.4173
2023-09-05 16:30,35.3415,15.424,27.8898,1020.41,1499.78,311.136,15.4448
2023-09-05 17:00,37.0425,15.4265,29.3815,1021.55,1501.52,310.144,15.4454
2023-09-05 17:30,35.2594,15.432,27.8122,1020.35,1499.72,309.381,15.4379
2023-09-05 17:58,35.1878,15.3453,27.8108,1020.37,1499.44,308.605,15.3585
2023-09-05 18:30,35.2104,15.2837,27.8743,1020.43,1499.32,307.889,15.3009
2023-09-05 19:00,35.451,15.2475,28.1113,1020.62,1499.48,307.679,15.267
2023-09-05 19:30,35.7727,15.3505,28.3201,1020.76,1500.05,307.873,15.3736
2023-09-05 19:58,35.1733,15.2733,27.849,1020.41,1499.26,308.336,15.2975
2023-09-05 20:30,35.126,15.2796,27.8031,1020.37,1499.22,309.06,15.2941
2023-09-05 21:00,35.115,15.2595,27.8076,1020.38,1499.16,309.794,15.2778
2023-09-05 21:30,35.1744,15.321,27.8162,1020.37,1499.37,310.505,15.3419
2023-09-05 21:58,35.1566,15.3571,27.7752,1020.34,1499.44,311.281,15.3735
2023-09-05 22:30,35.1266,15.3745,27.7366,1020.3,1499.45,312.178,15.381
2023-09-05 22:58,35.1809,15.3763,27.7829,1020.34,1499.51,312.879,15.3871
2023-09-05 23:30,35.0989,15.2772,27.781,1020.36,1499.19,313.412,15.2678
2023-09-06 00:00,35.077,15.2749,27.7634,1020.34,1499.16,314.195,15.2636
2023-09-06 00:30,35.0993,15.2623,27.7919,1020.37,1499.15,314.946,15.2466
2023-09-06 01:00,35.0981,15.3029,27.7621,1020.34,1499.25,315.413,15.2914
2023-09-06 01:30,35.1733,15.2954,27.8334,1020.39,1499.31,315.794,15.3056
2023-09-06 02:00,35.1823,15.2726,27.8574,1020.42,1499.26,315.783,15.2965
