timestamp,timestep,total_decision_time,avg_model_time,num_models,voluntary_switches,involuntary_switches,total_switches,cpu_usage,cpu_freq_before,cpu_freq_after,temp_before,temp_after,system_time,context_switch_rate
1748789471,11,2.16372,2.16097,1,0,202,202,100,528000,528000,48.873,48.873,0.010807,93.3579
1748789474,12,3.78665,3.78395,1,0,359,359,100,528000,528000,48.873,48.873,0.006249,94.8068
1748789478,13,3.77622,3.77352,1,0,353,353,100,528000,528000,48.873,48.873,0.010407,93.4797
1748789480,14,1.96879,1.96629,1,0,183,183,100,528000,528000,48.873,48.873,0.000563,92.9504
1748789482,15,1.97033,1.96774,1,0,185,185,100,528000,528000,48.873,48.873,0.000519,93.8927
1748789490,16,7.92312,7.92024,1,0,555,555,100,528000,528000,48.873,49.407,0.035274,70.0481
1748789498,17,8.31509,8.30907,1,0,536,536,100,528000,528000,49.407,49.407,0.00872,64.4611
1748789502,18,3.7768,3.774,1,0,353,353,100,528000,528000,49.407,49.941,0.006407,93.4652
1748789506,19,3.77256,3.76999,1,0,318,318,100,528000,528000,49.941,49.407,0.00106,84.2929
1748789510,20,3.77428,3.77175,1,0,335,335,100,528000,528000,49.407,49.941,0.006758,88.7585
1748789514,21,3.77407,3.77149,1,0,347,347,100,528000,528000,49.941,49.941,0.019452,91.9432
1748789517,22,3.77921,3.77666,1,0,351,351,100,528000,528000,49.941,49.941,0.0195,92.8765
1748789521,23,3.77611,3.77357,1,0,351,351,100,528000,528000,49.941,49.941,0.010119,92.9528
1748789525,24,3.77841,3.77586,1,0,358,358,100,528000,528000,49.941,49.941,0.000706,94.7489
1748789531,25,5.94399,5.93815,1,0,520,520,100,528000,528000,49.941,50.475,0.025427,87.4834
1748789541,26,9.80768,9.79711,1,0,582,582,100,528000,528000,49.941,50.475,0.002224,59.3413
1748789545,27,4.1441,4.14146,1,0,356,356,100,528000,528000,50.475,50.475,0.010007,85.9053
1748789549,28,3.77739,3.77486,1,0,349,349,100,528000,528000,50.475,49.941,0.000852,92.3918
1748789552,29,3.77247,3.76993,1,0,344,344,100,528000,528000,49.941,50.475,0.010108,91.187
1748789556,30,3.776,3.77334,1,0,346,346,100,528000,528000,50.475,50.475,0.00072,91.6313
1748789558,31,1.96673,1.9642,1,0,185,185,100,528000,528000,50.475,50.475,0.016029,94.0649
1748789562,32,3.76878,3.76614,1,0,340,340,100,528000,528000,50.475,50.475,0.015955,90.2148
1748789566,33,3.77024,3.76771,1,0,343,343,100,528000,528000,50.475,50.475,0.000663,90.9756
1748789569,34,3.76842,3.76586,1,0,331,331,100,528000,528000,50.475,50.475,0.010086,87.8352
1748789572,35,2.05825,2.04952,1,0,166,166,100,528000,528000,50.475,51.009,0.019162,80.6511
1748789581,36,9.79546,9.79284,1,0,578,578,100,528000,528000,51.009,51.009,0.006944,59.007
1748789586,37,4.28908,4.28584,1,0,278,278,100,528000,528000,51.009,50.475,0.014211,64.8157
1748789588,38,1.95957,1.95695,1,0,162,162,100,528000,528000,50.475,51.009,0.006304,82.6712
1748789590,39,2.01327,2.01064,1,0,235,235,100,528000,528000,51.009,51.009,0.006242,116.726
1748789592,40,1.9765,1.97395,1,0,202,202,100,528000,528000,51.009,51.009,0.00623,102.201
1748789595,41,3.85722,3.85466,1,0,310,310,100,528000,528000,51.009,51.543,0.010136,80.3688
1748789599,42,3.76485,3.76228,1,0,333,333,100,528000,528000,51.543,51.009,0.015936,88.4498
1748789603,43,3.76524,3.76231,1,0,309,309,100,528000,528000,51.009,50.475,0.016043,82.0665
1748789607,44,3.76415,3.76166,1,0,306,306,100,528000,528000,50.475,51.009,0.000701,81.2934
1748789611,45,3.77006,3.76758,1,0,318,318,100,528000,528000,51.009,51.009,0.010102,84.3488
1748789614,46,3.76354,3.76102,1,0,303,303,100,528000,528000,51.009,51.009,0.010052,80.5092
1748789623,47,8.52934,8.52667,1,0,519,519,100,528000,528000,51.009,51.009,0.008153,60.8488
1748789630,48,7.41544,7.4129,1,0,492,492,100,528000,528000,51.009,51.009,2e-06,66.348
1748789634,49,3.76396,3.76046,1,0,341,341,100,528000,528000,51.009,51.543,0.015232,90.596
1748789638,50,3.76754,3.76494,1,0,347,347,100,528000,528000,51.543,51.543,0.010045,92.1026
1748789640,51,1.95997,1.95744,1,0,160,160,100,528000,528000,51.543,51.009,0.009783,81.6338
1748789642,52,1.96144,1.9589,1,0,164,164,100,528000,528000,51.009,51.543,0.000272,83.612
