observed,predicted,low,high,anomalous,err,threshold
35.1462,33.7205,,,,,
34.5779,33.7204,,,,,
34.5449,33.7207,,,,,
35.5303,33.7203,,,,,
35.2442,33.7196,,,,,
35.7248,33.7203,,,,,
35.7733,33.7205,,,,,
35.2231,33.7211,33.7161,33.7261,False,0.00140995,0.005
35.1029,34.5012,34.4962,34.5062,False,0.000226289,0.005
35.4165,34.8167,34.8117,34.8217,False,0.000224873,0.005
35.6756,35.1272,35.1222,35.1322,False,0.000187953,0.005
35.5375,35.4121,35.4071,35.4171,False,9.82353e-06,0.005
35.609,35.4794,35.4744,35.4844,False,1.0496e-05,0.005
36.6874,35.547,35.542,35.552,False,0.00081288,0.005
35.0858,36.1353,36.1303,36.1403,False,0.000688387,0.005
35.2379,35.5993,35.5943,35.6043,False,8.16192e-05,0.005
35.4416,35.4094,35.4044,35.4144,False,6.49498e-07,0.005
34.9227,35.4044,35.3994,35.4094,False,0.000145037,0.005
35.1187,35.1558,35.1508,35.1608,False,8.59608e-07,0.005
35.106,35.1348,35.1298,35.1398,False,5.18435e-07,0.005
35.0686,35.1193,35.1143,35.1243,False,1.60367e-06,0.005
34.9091,35.0933,35.0883,35.0983,False,2.12021e-05,0.005
34.9577,34.9981,34.9931,35.0031,False,1.02119e-06,0.005
34.8873,34.9764,34.9714,34.9814,False,4.96621e-06,0.005
35.2137,34.9302,34.9252,34.9352,False,5.02457e-05,0.005
35.5976,35.076,35.071,35.081,False,0.000170059,0.005
35.6559,35.346,35.341,35.351,False,6.00187e-05,0.005
35.6925,35.5084,35.5034,35.5134,False,2.1178e-05,0.005
35.7563,35.6051,35.6001,35.6101,False,1.42939e-05,0.005
35.974,35.6838,35.6788,35.6888,False,5.2618e-05,0.005
35.7515,35.8341,35.8291,35.8391,False,4.26522e-06,0.005
35.5382,35.8345,35.8295,35.8395,False,5.48832e-05,0.005
35.561,35.6817,35.6767,35.6867,False,9.09946e-06,0.005
35.7806,35.6179,35.6129,35.6229,False,1.65502e-05,0.005
36.1832,35.701,35.696,35.706,False,0.000145304,0.005
35.8421,35.9504,35.9454,35.9554,False,7.33465e-06,0.005
35.9649,35.952,35.947,35.957,False,1.04751e-07,0.005
36.0739,35.9588,35.9538,35.9638,False,8.2826e-06,0.005
35.6992,36.0178,36.0128,36.0228,False,6.34445e-05,0.005
35.4596,35.8542,35.8492,35.8592,False,9.73074e-05,0.005
35.5687,35.6494,35.6444,35.6544,False,4.07126e-06,0.005
