observed,predicted,low,high,anomalous,err,threshold
1021.78,1020.94,,,,,
1021.37,1020.94,,,,,
1021.26,1020.94,,,,,
1021.95,1020.94,,,,,
1021.67,1020.94,,,,,
1022.15,1020.94,,,,,
1022.16,1020.94,,,,,
1021.34,1020.94,1020.93,1020.95,False,9.91635e-05,0.01
1021.22,1021.15,1021.14,1021.16,False,3.17914e-06,0.01
1021.38,1021.19,1021.18,1021.2,False,2.31869e-05,0.01
1021.27,1021.29,1021.28,1021.3,False,1.7708e-07,0.01
1021.4,1021.29,1021.28,1021.3,False,7.81292e-06,0.01
1021.3,1021.35,1021.34,1021.36,False,1.3079e-06,0.01
1022.12,1021.32,1021.31,1021.33,False,0.00039739,0.01
1020.96,1021.73,1021.72,1021.74,False,0.00037091,0.01
1021.01,1021.34,1021.33,1021.35,False,6.75187e-05,0.01
1021.27,1021.17,1021.16,1021.18,False,6.47823e-06,0.01
1021.07,1021.17,1021.16,1021.18,False,5.93401e-06,0.01
1021.24,1021.12,1021.11,1021.13,False,9.20838e-06,0.01
1021.33,1021.18,1021.17,1021.19,False,1.40095e-05,0.01
1021.34,1021.26,1021.25,1021.27,False,4.29506e-06,0.01
1021.2,1021.3,1021.29,1021.31,False,6.25893e-06,0.01
1021.18,1021.25,1021.24,1021.26,False,2.98062e-06,0.01
1021.12,1021.21,1021.2,1021.22,False,5.45256e-06,0.01
1021.38,1021.17,1021.16,1021.18,False,2.87712e-05,0.01
1021.66,1021.27,1021.26,1021.28,False,9.2641e-05,0.01
1021.65,1021.47,1021.46,1021.48,False,1.96888e-05,0.01
1021.69,1021.56,1021.55,1021.57,False,9.84596e-06,0.01
1021.66,1021.63,1021.62,1021.64,False,5.96535e-07,0.01
1021.8,1021.65,1021.64,1021.66,False,1.49821e-05,0.01
1021.6,1021.72,1021.71,1021.73,False,9.69319e-06,0.01
1021.31,1021.66,1021.65,1021.67,False,7.7124e-05,0.01
1021.23,1021.48,1021.47,1021.49,False,3.94504e-05,0.01
1021.38,1021.35,1021.34,1021.36,False,5.04284e-07,0.01
1021.52,1021.35,1021.34,1021.36,False,1.78538e-05,0.01
1021.28,1021.44,1021.43,1021.45,False,1.5531e-05,0.01
1021.33,1021.36,1021.35,1021.37,False,4.73449e-07,0.01
