observed,predicted,low,high,anomalous,err,threshold
29.1535,14.4655,,,,,
28.6287,14.4655,,,,,
28.5124,14.4664,,,,,
29.4073,14.4675,,,,,
29.0744,14.467,,,,,
29.6475,14.4669,,,,,
29.6656,14.4654,,,,,
28.7429,14.464,14.459,14.469,False,7.96435e-05,0.005
28.6011,21.7782,21.7732,21.7832,False,1.81842e-05,0.005
28.8294,25.3097,25.3048,25.3147,False,4.83903e-06,0.005
28.7886,27.1302,27.1252,27.1352,False,1.07429e-06,0.005
28.8735,27.9889,27.9839,27.9939,False,3.05661e-07,0.005
28.7991,28.4453,28.4403,28.4503,False,4.88892e-08,0.005
29.8359,28.6286,28.6236,28.6336,False,5.69371e-07,0.005
28.3462,29.2434,29.2384,29.2484,False,3.14457e-07,0.005
28.4336,28.7906,28.7856,28.7956,False,4.97878e-08,0.005
28.7328,28.6067,28.6017,28.6117,False,6.21284e-09,0.005
28.4188,28.6713,28.6663,28.6763,False,2.48966e-08,0.005
28.6289,28.5441,28.5391,28.5491,False,2.8064e-09,0.005
28.7105,28.5442,28.5392,28.5492,False,1.08003e-08,0.005
28.7076,28.6288,28.6238,28.6338,False,2.42411e-09,0.005
28.5337,28.6692,28.6642,28.6742,False,7.17252e-09,0.005
28.5336,28.6004,28.5954,28.6054,False,1.74099e-09,0.005
28.456,28.5662,28.5612,28.5712,False,4.74428e-09,0.005
28.7805,28.5103,28.5053,28.5153,False,2.85143e-08,0.005
29.1371,28.6474,28.6424,28.6524,False,9.3681e-08,0.005
29.1463,28.8967,28.8917,28.9017,False,2.4339e-08,0.005
29.1891,29.0242,29.0192,29.0292,False,1.06272e-08,0.005
29.1825,29.1079,29.1029,29.1129,False,2.17361e-09,0.005
29.3637,29.1461,29.1411,29.1511,False,1.85024e-08,0.005
29.1174,29.2568,29.2518,29.2618,False,7.59503e-09,0.005
28.7948,29.1865,29.1815,29.1915,False,5.99343e-08,0.005
28.7215,28.9871,28.9821,28.9921,False,2.75625e-08,0.005
28.9141,28.8516,28.8466,28.8566,False,1.52362e-09,0.005
29.1431,28.8522,28.8472,28.8572,False,3.30464e-08,0.005
28.8313,29.0006,28.9956,29.0056,False,1.1196e-08,0.005
28.9076,28.915,28.91,28.92,False,2.11839e-11,0.005
29.0518,28.9107,28.9057,28.9157,False,7.77956e-09,0.005
28.7679,28.9826,28.9776,28.9876,False,1.80041e-08,0.005
28.5127,28.874,28.869,28.879,False,5.09861e-08,0.005
28.6803,28.6898,28.6848,28.6948,False,3.53276e-11,0.005
28.8119,28.6846,28.6796,28.6896,False,6.33085e-09,0.005
28.8335,28.7496,28.7446,28.7546,False,2.74712e-09,0.005
28.719,28.7924,28.7874,28.7974,False,2.10282e-09,0.005
28.871,28.7549,28.7499,28.7599,False,5.26134e-09,0.005
28.7222,28.8137,28.8087,28.8187,False,3.26779e-09,0.005
28.7466,28.7676,28.7626,28.7726,False,1.72245e-10,0.005
28.6817,28.7566,28.7516,28.7616,False,2.19433e-09,0.005
28.7669,28.7186,28.7136,28.7236,False,9.11646e-10,0.005
28.872,28.7431,28.7381,28.7481,False,6.49522e-09,0.005
28.9882,28.8087,28.8037,28.8137,False,1.25885e-08,0.005
29.0586,28.9001,28.8951,28.9051,False,9.81494e-09,0.005
29.0769,28.9808,28.9758,28.9858,False,3.60911e-09,0.005
28.6237,29.0298,29.0248,29.0348,False,6.44165e-08,0.005
28.5273,28.8236,28.8186,28.8286,False,3.42966e-08,0.005
28.5707,28.6723,28.6673,28.6773,False,4.03218e-09,0.005
28.6725,28.6206,28.6156,28.6256,False,1.05234e-09,0.005
28.4379,28.6471,28.6421,28.6521,False,1.70878e-08,0.005
28.2942,28.5408,28.5358,28.5458,False,2.37515e-08,0.005
28.3341,28.4149,28.4099,28.4199,False,2.55157e-09,0.005
28.5837,28.3735,28.3685,28.3785,False,1.72518e-08,0.005
28.7104,28.4804,28.4754,28.4854,False,2.06709e-08,0.005
