observed,predicted,low,high,anomalous,err,threshold
1494.86,1493.2,,,,,
1494.25,1493.2,,,,,
1494.5,1493.2,,,,,
1495.59,1493.2,,,,,
1495.5,1493.2,,,,,
1495.6,1493.2,,,,,
1495.74,1493.2,,,,,
1496.49,1493.2,1493.2,1493.21,False,0.00431916,0.005
1496.47,1494.91,1494.9,1494.91,False,0.000978434,0.005
1496.98,1495.73,1495.72,1495.73,False,0.000629163,0.005
1498.14,1496.38,1496.37,1496.38,False,0.00123921,0.005
1497.32,1497.29,1497.29,1497.3,False,2.80968e-07,0.005
1497.84,1497.32,1497.31,1497.32,False,0.00011,0.005
1498.77,1497.59,1497.58,1497.59,False,0.000559206,0.005
1497.25,1498.2,1498.19,1498.2,False,0.000360536,0.005
1497.56,1497.72,1497.71,1497.72,False,9.61763e-06,0.005
1497.4,1497.63,1497.63,1497.64,False,2.14686e-05,0.005
1496.35,1497.51,1497.5,1497.51,False,0.000537672,0.005
1496.45,1496.91,1496.91,1496.92,False,8.46824e-05,0.005
1496.13,1496.67,1496.66,1496.67,False,0.000115374,0.005
1495.99,1496.39,1496.38,1496.39,False,6.29045e-05,0.005
1495.91,1496.18,1496.17,1496.18,False,2.90815e-05,0.005
1496.11,1496.04,1496.03,1496.04,False,2.04636e-06,0.005
1496.08,1496.04,1496.03,1496.04,False,7.09725e-07,0.005
1496.33,1496.06,1496.05,1496.06,False,2.92173e-05,0.005
1496.71,1496.2,1496.19,1496.2,False,0.000104191,0.005
1496.91,1496.46,1496.46,1496.47,False,7.95252e-05,0.005
1496.92,1496.7,1496.69,1496.7,False,1.9918e-05,0.005
1497.2,1496.81,1496.81,1496.82,False,5.94116e-05,0.005
1497.48,1497.01,1497.01,1497.02,False,8.65963e-05,0.005
1497.38,1497.26,1497.25,1497.26,False,6.09039e-06,0.005
1497.58,1497.32,1497.32,1497.33,False,2.64595e-05,0.005
1497.91,1497.46,1497.45,1497.46,False,8.23067e-05,0.005
1498.15,1497.69,1497.69,1497.7,False,8.40451e-05,0.005
1498.99,1497.93,1497.93,1497.94,False,0.000448879,0.005
1498.66,1498.48,1498.48,1498.49,False,1.2927e-05,0.005
1498.89,1498.58,1498.57,1498.58,False,3.88537e-05,0.005
1498.85,1498.74,1498.74,1498.75,False,4.73414e-06,0.005
1498.3,1498.8,1498.79,1498.8,False,9.93143e-05,0.005
1498.19,1498.54,1498.54,1498.55,False,4.94646e-05,0.005
1498.07,1498.36,1498.35,1498.36,False,3.30755e-05,0.005
1498.06,1498.21,1498.2,1498.21,False,8.59006e-06,0.005
1497.66,1498.13,1498.12,1498.13,False,8.81452e-05,0.005
1496.93,1497.89,1497.88,1497.89,False,0.000365731,0.005
1496.94,1497.39,1497.39,1497.4,False,8.11342e-05,0.005
1497.26,1497.15,1497.15,1497.16,False,4.59051e-06,0.005
1497.46,1497.15,1497.15,1497.16,False,3.83154e-05,0.005
1497.78,1497.31,1497.31,1497.32,False,8.82515e-05,0.005
1497.69,1497.55,1497.55,1497.56,False,7.31626e-06,0.005
1497.44,1497.63,1497.62,1497.63,False,1.39908e-05,0.005
1497.52,1497.53,1497.53,1497.54,False,5.15445e-08,0.005
1497.36,1497.52,1497.52,1497.53,False,1.08221e-05,0.005
1497.81,1497.44,1497.43,1497.44,False,5.50326e-05,0.005
1497.67,1497.63,1497.62,1497.64,False,6.4193e-07,0.005
1497.76,1497.65,1497.65,1497.66,False,4.64713e-06,0.005
1497.52,1497.71,1497.7,1497.71,False,1.42295e-05,0.005
1498.13,1497.61,1497.61,1497.62,False,0.000107517,0.005
1498.56,1497.88,1497.87,1497.88,False,0.00018583,0.005
1498.87,1498.23,1498.23,1498.24,False,0.000162528,0.005
1498.99,1498.57,1498.56,1498.57,False,7.19895e-05,0.005
