observed,predicted,low,high,anomalous,err,threshold
13.4658,13.0373,,,,,
13.4693,13.0374,,,,,
13.5845,13.0375,,,,,
13.5956,13.0374,,,,,
13.6882,13.0374,,,,,
13.5161,13.0372,,,,,
13.5503,13.0372,,,,,
14.1037,13.0371,13.0361,13.0381,True,0.00126407,0.001
14.1483,13.5838,13.5828,13.5848,False,0.000354083,0.001
14.2222,13.876,13.875,13.877,False,0.000133199,0.001
14.5908,14.0546,14.0536,14.0556,False,0.00031946,0.001
14.3096,14.3294,14.3284,14.3304,False,4.35485e-07,0.001
14.4959,14.3314,14.3304,14.3324,False,3.00692e-05,0.001
14.4089,14.4156,14.4146,14.4166,False,4.96807e-08,0.001
14.4742,14.4158,14.4148,14.4168,False,3.78472e-06,0.001
14.5408,14.4459,14.4449,14.4469,False,1.00148e-05,0.001
14.3825,14.4945,14.4935,14.4955,False,1.39262e-05,0.001
14.1748,14.4376,14.4366,14.4386,False,7.67205e-05,0.001
14.13,14.3029,14.3019,14.3039,False,3.32262e-05,0.001
14.0047,14.2138,14.2128,14.2148,False,4.86007e-05,0.001
13.9631,14.1067,14.1056,14.1077,False,2.28962e-05,0.001
14.0025,14.0328,14.0318,14.0338,False,1.02137e-06,0.001
14.062,14.0169,14.0159,14.0179,False,2.25647e-06,0.001
14.081,14.0399,14.0389,14.0409,False,1.87506e-06,0.001
14.0417,14.061,14.06,14.062,False,4.14273e-07,0.001
14.0309,14.0512,14.0502,14.0522,False,4.57992e-07,0.001
14.0886,14.0407,14.0397,14.0417,False,2.54533e-06,0.001
14.076,14.0651,14.0641,14.0661,False,1.31029e-07,0.001
14.1612,14.0709,14.0699,14.0719,False,9.06964e-06,0.001
14.1823,14.117,14.116,14.118,False,4.73388e-06,0.001
14.2418,14.1506,14.1496,14.1516,False,9.24133e-06,0.001
14.4161,14.1974,14.1964,14.1984,False,5.31577e-05,0.001
14.5427,14.3093,14.3083,14.3103,False,6.05101e-05,0.001
14.5484,14.4292,14.4282,14.4302,False,1.57917e-05,0.001
14.7246,14.4907,14.4897,14.4917,False,6.07867e-05,0.001
14.7341,14.6105,14.6095,14.6115,False,1.69847e-05,0.001
14.7791,14.6743,14.6733,14.6753,False,1.22082e-05,0.001
14.716,14.7282,14.7272,14.7292,False,1.65197e-07,0.001
14.6472,14.7283,14.7273,14.7293,False,7.3132e-06,0.001
14.7033,14.6868,14.6858,14.6878,False,3.008e-07,0.001
14.6079,14.6868,14.6858,14.6878,False,6.91108e-06,0.001
14.5569,14.6466,14.6456,14.6476,False,8.93533e-06,0.001
14.4284,14.6006,14.5996,14.6016,False,3.29297e-05,0.001
14.2442,14.5123,14.5113,14.5133,False,7.98711e-05,0.001
14.1955,14.3749,14.3739,14.3759,False,3.57545e-05,0.001
14.3451,14.2825,14.2815,14.2835,False,4.35307e-06,0.001
14.3979,14.2828,14.2818,14.2838,False,1.47113e-05,0.001
14.5174,14.342,14.341,14.343,False,3.41857e-05,0.001
14.4589,14.4319,14.4309,14.4329,False,8.08124e-07,0.001
14.3457,14.4461,14.4451,14.4471,False,1.12029e-05,0.001
14.3294,14.3948,14.3938,14.3958,False,4.75881e-06,0.001
14.2552,14.3611,14.3601,14.3621,False,1.24588e-05,0.001
14.386,14.3069,14.3059,14.3079,False,6.95455e-06,0.001
14.5067,14.3471,14.3461,14.3481,False,2.83117e-05,0.001
14.5673,14.4289,14.4279,14.4299,False,2.1292e-05,0.001
14.4773,14.5001,14.4991,14.5011,False,5.75366e-07,0.001
14.6279,14.5002,14.4992,14.5012,False,1.81294e-05,0.001
14.8462,14.5653,14.5643,14.5663,False,8.76902e-05,0.001
14.9938,14.7092,14.7082,14.7102,False,9.00021e-05,0.001
15.0162,14.8555,14.8545,14.8565,False,2.87041e-05,0.001
15.02,14.9383,14.9373,14.9393,False,7.41526e-06,0.001
15.1095,14.9804,14.9794,14.9814,False,1.8519e-05,0.001
15.2438,15.0466,15.0456,15.0476,False,4.32148e-05,0.001
15.3318,15.1478,15.1468,15.1488,False,3.76205e-05,0.001
15.1799,15.2424,15.2414,15.2434,False,4.34412e-06,0.001
15.0822,15.2421,15.2411,15.2431,False,2.84219e-05,0.001
15.2521,15.16,15.159,15.161,False,9.41756e-06,0.001
15.0542,15.2066,15.2056,15.2076,False,2.58099e-05,0.001
15.1287,15.1291,15.1281,15.1301,False,1.50763e-10,0.001
15.0406,15.1284,15.1274,15.1294,False,8.57015e-06,0.001
15.1475,15.0835,15.0825,15.0845,False,4.55788e-06,0.001
15.1795,15.116,15.115,15.117,False,4.47453e-06,0.001
15.1159,15.1486,15.1476,15.1496,False,1.18951e-06,0.001
15.0785,15.1321,15.1311,15.1331,False,3.19233e-06,0.001
14.9864,15.1045,15.1035,15.1055,False,1.55056e-05,0.001
15.022,15.044,15.043,15.045,False,5.37927e-07,0.001
14.9518,15.0325,15.0315,15.0335,False,7.22946e-06,0.001
14.9867,14.9912,14.9902,14.9922,False,2.25164e-08,0.001
15.0425,14.9887,14.9877,14.9897,False,3.21591e-06,0.001
15.0798,15.0162,15.0152,15.0172,False,4.49903e-06,0.001
15.096,15.0489,15.0479,15.0499,False,2.46804e-06,0.001
15.2539,15.0731,15.0721,15.0741,False,3.63195e-05,0.001
15.1688,15.1656,15.1646,15.1666,False,1.12564e-08,0.001
