observed,predicted,low,high,anomalous,err,threshold
357.437,352.339,,,,,
358.975,352.336,,,,,
360.161,352.334,,,,,
360.579,352.336,,,,,
360.378,352.339,,,,,
358.305,352.342,,,,,
359.568,352.344,,,,,
314.402,352.342,352.339,352.345,True,0.0498085,0.003
313.851,332.785,332.782,332.788,True,0.012405,0.003
313.087,322.864,322.861,322.867,True,0.00330763,0.003
312.246,317.72,317.717,317.723,False,0.00103678,0.003
311.362,314.873,314.87,314.876,False,0.000426475,0.003
310.586,313.049,313.046,313.052,False,0.000209931,0.003
309.697,311.771,311.768,311.774,False,0.000148795,0.003
308.885,310.696,310.693,310.699,False,0.000113508,0.003
308.08,309.758,309.755,309.761,False,9.74356e-05,0.003
307.402,308.889,308.886,308.892,False,7.65337e-05,0.003
307.001,308.119,308.116,308.122,False,4.32485e-05,0.003
307.109,307.539,307.536,307.542,False,6.39778e-06,0.003
307.382,307.314,307.311,307.317,False,1.6211e-07,0.003
307.98,307.312,307.309,307.315,False,1.54489e-05,0.003
308.878,307.655,307.652,307.658,False,5.17791e-05,0.003
309.626,308.285,308.282,308.288,False,6.22114e-05,0.003
310.488,308.978,308.975,308.981,False,7.88537e-05,0.003
311.411,309.759,309.756,309.762,False,9.44349e-05,0.003
312.306,310.613,310.61,310.616,False,9.91493e-05,0.003
313.268,311.489,311.486,311.492,False,0.000109486,0.003
314.121,312.41,312.407,312.413,False,0.000101345,0.003
314.855,313.296,313.293,313.299,False,8.41216e-05,0.003
315.351,314.104,314.101,314.107,False,5.38233e-05,0.003
315.607,314.751,314.748,314.754,False,2.53523e-05,0.003
315.277,315.196,315.193,315.199,False,2.26692e-07,0.003
314.679,315.241,315.238,315.244,False,1.09464e-05,0.003
314.057,314.953,314.95,314.956,False,2.77836e-05,0.003
313.033,314.49,314.487,314.493,False,7.34922e-05,0.003
311.952,313.738,313.735,313.741,False,0.000110381,0.003
310.911,312.815,312.812,312.818,False,0.000125411,0.003
309.861,311.83,311.827,311.833,False,0.000134099,0.003
308.78,310.811,310.808,310.814,False,0.000142707,0.003
307.839,309.76,309.757,309.763,False,0.000127699,0.003
307.014,308.766,308.763,308.768,False,0.000106151,0.003
306.203,307.859,307.856,307.862,False,9.48338e-05,0.003
305.79,307.002,306.999,307.005,False,5.08016e-05,0.003
305.828,306.373,306.37,306.376,False,1.02781e-05,0.003
306.176,306.088,306.085,306.091,False,2.67115e-07,0.003
306.809,306.086,306.083,306.089,False,1.80812e-05,0.003
307.553,306.457,306.454,306.46,False,4.15686e-05,0.003
308.467,307.022,307.019,307.025,False,7.22183e-05,0.003
309.619,307.768,307.765,307.771,False,0.000118525,0.003
310.799,308.724,308.721,308.727,False,0.000148991,0.003
311.829,309.797,309.794,309.8,False,0.000142925,0.003
312.856,310.849,310.846,310.852,False,0.000139421,0.003
313.964,311.888,311.885,311.891,False,0.000149154,0.003
315.001,312.962,312.959,312.965,False,0.00014383,0.003
315.654,314.018,314.015,314.021,False,9.2626e-05,0.003
315.878,314.867,314.864,314.87,False,3.5376e-05,0.003
315.713,315.393,315.39,315.396,False,3.53459e-06,0.003
315.284,315.562,315.559,315.565,False,2.67483e-06,0.003
314.618,315.421,315.418,315.424,False,2.229e-05,0.003
313.737,315.007,315.004,315.01,False,5.58242e-05,0.003
312.646,314.351,314.348,314.354,False,0.000100633,0.003
311.397,313.47,313.467,313.473,False,0.000148722,0.003
310.365,312.398,312.395,312.401,False,0.000143077,0.003
309.211,311.346,311.343,311.349,False,0.000157655,0.003
308.094,310.241,310.238,310.244,False,0.000159509,0.003
307.267,309.13,309.127,309.133,False,0.000120109,0.003
306.505,308.165,308.162,308.168,False,9.5329e-05,0.003
306.255,307.305,307.302,307.308,False,3.81584e-05,0.003
306.65,306.759,306.756,306.762,False,4.13468e-07,0.003
307.134,306.699,306.696,306.702,False,6.56042e-06,0.003
307.814,306.921,306.918,306.924,False,2.75673e-05,0.003
308.704,307.381,307.378,307.384,False,6.05286e-05,0.003
309.668,308.064,308.061,308.067,False,8.90473e-05,0.003
310.825,308.893,308.89,308.896,False,0.000129217,0.003
311.93,309.891,309.888,309.894,False,0.000143845,0.003
312.984,310.946,310.943,310.949,False,0.000143752,0.003
314.13,312.001,311.998,312.004,False,0.000156866,0.003
315.264,313.103,313.1,313.106,False,0.000161647,0.003
316.108,314.221,314.218,314.224,False,0.000123148,0.003
316.671,315.2,315.197,315.203,False,7.49123e-05,0.003
316.701,315.964,315.961,315.967,False,1.88159e-05,0.003
316.196,316.349,316.346,316.352,False,8.07588e-07,0.003
315.443,316.351,316.348,316.354,False,2.85332e-05,0.003
314.485,315.885,315.882,315.888,False,6.77756e-05,0.003
313.318,315.162,315.159,315.165,False,0.000117626,0.003
312.043,314.209,314.206,314.212,False,0.000162313,0.003
310.594,313.089,313.086,313.092,False,0.000215353,0.003
309.278,311.799,311.796,311.802,False,0.000219837,0.003
308.11,310.494,310.491,310.497,False,0.000196661,0.003
306.948,309.26,309.257,309.263,False,0.00018489,0.003
305.855,308.063,308.06,308.066,False,0.00016872,0.003
305.151,306.92,306.917,306.923,False,0.00010834,0.003
305.01,306.003,306,306.006,False,3.41391e-05,0.003
305.276,305.486,305.483,305.489,False,1.52745e-06,0.003
305.852,305.374,305.371,305.377,False,7.90549e-06,0.003
306.749,305.618,305.615,305.621,False,4.42356e-05,0.003
307.686,306.2,306.197,306.203,False,7.63721e-05,0.003
308.855,306.967,306.964,306.97,False,0.000123301,0.003
310.229,307.942,307.939,307.945,False,0.000180948,0.003
311.317,309.124,309.121,309.127,False,0.000166476,0.003
312.371,310.259,310.256,310.262,False,0.000154347,0.003
313.676,311.353,311.35,311.356,False,0.0001868,0.003
314.753,312.554,312.551,312.557,False,0.000167294,0.003
315.638,313.693,313.69,313.696,False,0.000130909,0.003
316.514,314.701,314.698,314.704,False,0.000113698,0.003
316.527,315.641,315.638,315.644,False,2.71887e-05,0.003
316.036,316.104,316.101,316.107,False,1.58768e-07,0.003
315.58,316.109,316.106,316.112,False,9.67983e-06,0.003
314.637,315.838,315.835,315.841,False,4.98822e-05,0.003
313.544,315.219,315.216,315.221,False,9.70218e-05,0.003
312.377,314.353,314.35,314.356,False,0.000135172,0.003
310.97,313.331,313.328,313.334,False,0.000192925,0.003
309.657,312.11,312.107,312.113,False,0.000208274,0.003
308.474,310.841,310.838,310.844,False,0.000193843,0.003
307.363,309.615,309.612,309.618,False,0.000175548,0.003
306.312,308.449,308.446,308.452,False,0.000158073,0.003
305.683,307.343,307.34,307.346,False,9.53628e-05,0.003
305.763,306.482,306.479,306.485,False,1.79022e-05,0.003
306.328,306.106,306.103,306.109,False,1.70423e-06,0.003
307.018,306.105,306.102,306.108,False,2.88352e-05,0.003
308.025,306.574,306.571,306.577,False,7.28355e-05,0.003
309.073,307.322,307.319,307.325,False,0.000106037,0.003
310.34,308.227,308.224,308.23,False,0.000154532,0.003
311.776,309.319,309.316,309.322,False,0.000208953,0.003
312.945,310.589,310.586,310.592,False,0.000192117,0.003
314.026,311.809,311.806,311.812,False,0.000170118,0.003
315.315,312.957,312.954,312.96,False,0.000192354,0.003
316.356,314.177,314.174,314.18,False,0.000164253,0.003
317.048,315.306,315.303,315.309,False,0.000104991,0.003
317.416,316.21,316.207,316.213,False,5.02998e-05,0.003
316.986,316.837,316.834,316.84,False,7.6541e-07,0.003
316.26,316.919,316.916,316.922,False,1.50273e-05,0.003
315.58,316.581,316.578,316.584,False,3.46979e-05,0.003
314.529,316.064,316.061,316.067,False,8.15234e-05,0.003
313.196,315.271,315.268,315.274,False,0.000148991,0.003
311.608,314.199,314.196,314.202,False,0.00023228,0.003
310.106,312.86,312.857,312.863,False,0.000262371,0.003
308.843,311.435,311.432,311.438,False,0.000232432,0.003
307.545,310.092,310.089,310.095,False,0.000224551,0.003
306.164,308.774,308.771,308.777,False,0.000235703,0.003
305.14,307.424,307.421,307.427,False,0.000180503,0.003
304.552,306.241,306.238,306.244,False,9.87272e-05,0.003
304.563,305.365,305.362,305.368,False,2.22478e-05,0.003
305.166,304.946,304.943,304.949,False,1.66939e-06,0.003
305.884,304.945,304.942,304.948,False,3.05111e-05,0.003
306.855,305.427,305.424,305.43,False,7.05404e-05,0.003
308.086,306.164,306.161,306.167,False,0.000127862,0.003
309.382,307.156,307.153,307.159,False,0.000171472,0.003
310.747,308.306,308.303,308.309,False,0.00020615,0.003
311.979,309.568,309.565,309.571,False,0.000201105,0.003
313.334,310.816,310.813,310.819,False,0.000219399,0.003
314.523,312.119,312.116,312.122,False,0.000200002,0.003
315.523,313.364,313.361,313.367,False,0.000161313,0.003
316.522,314.483,314.48,314.486,False,0.000143866,0.003
316.942,315.539,315.536,315.542,False,6.80753e-05,0.003
316.735,316.269,316.266,316.272,False,7.52833e-06,0.003
316.306,316.514,316.511,316.517,False,1.50383e-06,0.003
315.723,316.514,316.511,316.517,False,2.16469e-05,0.003
314.78,316.107,316.104,316.11,False,6.09076e-05,0.003
313.361,315.422,315.419,315.425,False,0.000146961,0.003
312.045,314.358,314.355,314.361,False,0.000185098,0.003
310.633,313.161,313.158,313.164,False,0.000221196,0.003
309.308,311.853,311.85,311.856,False,0.000224142,0.003
308.023,310.536,310.533,310.539,False,0.000218488,0.003
306.727,309.235,309.232,309.238,False,0.000217696,0.003
305.854,307.937,307.934,307.94,False,0.0001502,0.003
305.544,306.858,306.855,306.861,False,5.97244e-05,0.003
305.927,306.175,306.172,306.178,False,2.12469e-06,0.003
306.631,306.042,306.039,306.045,False,1.2005e-05,0.003
307.611,306.343,306.34,306.346,False,5.56276e-05,0.003
308.731,306.996,306.993,306.999,False,0.000104141,0.003
309.971,307.892,307.889,307.895,False,0.000149615,0.003
311.473,308.966,308.963,308.969,False,0.000217475,0.003
312.72,310.261,310.258,310.264,False,0.000209165,0.003
313.965,311.534,311.531,311.537,False,0.000204491,0.003
315.213,312.793,312.79,312.796,False,0.000202704,0.003
316.203,314.046,314.043,314.049,False,0.000161039,0.003
317.14,315.164,315.161,315.167,False,0.000135122,0.003
317.875,316.188,316.185,316.191,False,9.84596e-05,0.003
317.785,317.063,317.06,317.066,False,1.80341e-05,0.003
316.967,317.441,317.438,317.444,False,7.78662e-06,0.003
316.272,317.201,317.198,317.204,False,2.98724e-05,0.003
315.444,316.722,316.719,316.725,False,5.64933e-05,0.003
314.135,316.061,316.058,316.064,False,0.000128356,0.003
312.668,315.066,315.063,315.069,False,0.000199034,0.003
310.854,313.827,313.824,313.829,False,0.000305736,0.003
309.348,312.29,312.287,312.293,False,0.000299478,0.003
308.293,310.767,310.764,310.77,False,0.000211773,0.003
306.871,309.484,309.481,309.487,False,0.000236311,0.003
305.434,308.133,308.13,308.136,False,0.000252009,0.003
304.688,306.737,306.734,306.74,False,0.000145307,0.003
304.564,305.674,305.671,305.677,False,4.26664e-05,0.003
304.896,305.096,305.093,305.099,False,1.38269e-06,0.003
305.479,304.989,304.986,304.992,False,8.31969e-06,0.003
306.382,305.239,305.236,305.242,False,4.51721e-05,0.003
