observed,predicted,low,high,anomalous,err,threshold
13.4832,13.0493,,,,,
13.4798,13.0494,,,,,
13.5885,13.0495,,,,,
13.6141,13.0494,,,,,
13.7,13.0494,,,,,
13.5342,13.0492,,,,,
13.5507,13.0493,,,,,
14.1095,13.0492,13.0482,13.0502,True,0.00212528,0.001
14.1628,13.5939,13.5929,13.5949,False,0.000611866,0.001
14.275,13.8892,13.8882,13.8902,False,0.000281407,0.001
14.6611,14.0889,14.0879,14.0899,False,0.000618999,0.001
14.2996,14.3831,14.3821,14.3841,False,1.31867e-05,0.001
14.5131,14.3845,14.3835,14.3855,False,3.12677e-05,0.001
14.4205,14.4503,14.4493,14.4513,False,1.67911e-06,0.001
14.4847,14.4352,14.4342,14.4362,False,4.62403e-06,0.001
14.5546,14.4607,14.4597,14.4617,False,1.66658e-05,0.001
14.4113,14.5089,14.5079,14.5099,False,1.79916e-05,0.001
14.2032,14.4592,14.4582,14.4602,False,0.000123919,0.001
14.1469,14.3277,14.3267,14.3287,False,6.17965e-05,0.001
14.0128,14.2342,14.2332,14.2352,False,9.26616e-05,0.001
13.9733,14.1202,14.1192,14.1212,False,4.08181e-05,0.001
14.0188,14.0443,14.0433,14.0453,False,1.23214e-06,0.001
14.0773,14.0308,14.0298,14.0318,False,4.09342e-06,0.001
14.0908,14.0546,14.0536,14.0556,False,2.48323e-06,0.001
14.0524,14.0733,14.0723,14.0743,False,8.23197e-07,0.001
14.0489,14.0627,14.0617,14.0637,False,3.58333e-07,0.001
14.0875,14.0555,14.0545,14.0565,False,1.93321e-06,0.001
14.0919,14.0719,14.0709,14.0729,False,7.5958e-07,0.001
14.1981,14.0822,14.0812,14.0833,False,2.53709e-05,0.001
14.1938,14.1417,14.1407,14.1427,False,5.13876e-06,0.001
14.2573,14.1687,14.1677,14.1697,False,1.48302e-05,0.001
14.4354,14.2143,14.2133,14.2153,False,9.24265e-05,0.001
14.5616,14.3278,14.3268,14.3288,False,0.000103332,0.001
14.5912,14.4483,14.4473,14.4493,False,3.85911e-05,0.001
14.7533,14.5223,14.5213,14.5233,False,0.000100882,0.001
14.7453,14.6411,14.6401,14.6421,False,2.0534e-05,0.001
14.796,14.6952,14.6942,14.6962,False,1.92026e-05,0.001
14.731,14.7472,14.7462,14.7482,False,4.98208e-07,0.001
14.6572,14.7473,14.7463,14.7483,False,1.536e-05,0.001
14.7097,14.7011,14.7001,14.7021,False,1.38956e-07,0.001
14.6298,14.7008,14.6998,14.7018,False,9.52542e-06,0.001
14.5719,14.6644,14.6634,14.6654,False,1.61827e-05,0.001
14.4432,14.6168,14.6158,14.6178,False,5.69782e-05,0.001
14.2598,14.5275,14.5265,14.5285,False,0.000135472,0.001
